time=8.61,T1=6.4,H1=48.3,T2=23.6,H2=29.0,V=4.14
time=8.65,T1=6.4,H1=48.3,T2=23.6,H2=29.0,V=4.14
time=8.70,T1=6.4,H1=48.3,T2=23.6,H2=29.0,V=4.14
time=8.74,T1=6.4,H1=48.2,T2=23.6,H2=29.0,V=4.14
time=8.78,T1=6.4,H1=48.2,T2=23.5,H2=29.0,V=4.14
time=8.83,T1=6.4,H1=48.2,T2=23.5,H2=29.1,V=4.14
time=8.87,T1=6.4,H1=48.1,T2=23.5,H2=29.2,V=4.14
time=8.96,T1=6.4,H1=48.2,T2=23.5,H2=29.2,V=4.14
time=9.00,T1=6.4,H1=48.2,T2=23.5,H2=29.2,V=4.14
time=9.05,T1=6.4,H1=48.2,T2=23.5,H2=29.2,V=4.14
time=9.09,T1=6.4,H1=48.2,T2=23.5,H2=29.2,V=4.14
time=9.14,T1=6.4,H1=48.2,T2=23.5,H2=29.3,V=4.14
time=9.18,T1=6.3,H1=48.1,T2=23.5,H2=29.3,V=4.14
time=9.22,T1=6.4,H1=48.2,T2=23.5,H2=29.3,V=4.14
time=9.27,T1=6.4,H1=48.2,T2=23.5,H2=29.3,V=4.14
time=9.31,T1=6.4,H1=48.2,T2=23.5,H2=29.3,V=4.14
time=9.35,T1=6.4,H1=48.2,T2=23.5,H2=29.3,V=4.14
time=9.40,T1=6.4,H1=48.1,T2=23.5,H2=29.3,V=4.14
time=9.44,T1=6.4,H1=48.1,T2=23.5,H2=29.3,V=4.14
time=9.49,T1=6.4,H1=48.0,T2=23.5,H2=29.3,V=4.14
time=9.53,T1=6.5,H1=48.2,T2=23.5,H2=29.4,V=4.14
time=9.57,T1=6.4,H1=48.0,T2=23.5,H2=29.3,V=4.14
time=9.62,T1=6.5,H1=48.0,T2=23.5,H2=29.3,V=4.14
time=9.66,T1=6.4,H1=47.9,T2=23.5,H2=29.3,V=4.14
time=9.75,T1=6.5,H1=48.0,T2=23.5,H2=29.3,V=4.14
time=9.79,T1=6.3,H1=47.7,T2=23.5,H2=29.3,V=4.14
9.84,T1=6.4,H1=47.8,T2=23.5,H2=29.3,V=4.14
time=9.88,T1=6.4,H1=47.8,T2=23.5,H2=29.4,V=4.14
time=9.93,T1=6.4,H1=47.8,T2=23.5,H2=29.4,V=4.13
time=9.97,T1=6.4,H1=47.8,T2=23.4,H2=29.3,V=4.14
time=10.01,T1=6.4,H1=47.8,T2=23.5,H2=29.4,V=4.14
time=10.06,T1=6.4,H1=47.8,T2=23.5,H2=29.4,V=4.14
time=10.10,T1=6.4,H1=47.8,T2=23.5,H2=29.4,V=4.14
time=10.15,T1=6.4,H1=47.8,T2=23.4,H2=29.3,V=4.14
time=10.19,T1=6.4,H1=47.8,T2=23.5,H2=29.3,V=4.13
time=10.23,T1=6.4,H1=47.8,T2=23.5,H2=29.3,V=4.13
time=10.28,T1=6.4,H1=47.8,T2=23.4,H2=29.3,V=4.13
time=10.32,T1=6.3,H1=47.7,T2=23.5,H2=29.3,V=4.13
time=10.37,T1=6.4,H1=47.8,T2=23.4,H2=29.3,V=4.13
time=10.45,T1=6.4,H1=47.9,T2=23.5,H2=29.4,V=4.14
time=10.50,T1=6.4,H1=47.9,T2=23.4,H2=29.3,V=4.13
time=10.54,T1=6.4,H1=47.9,T2=23.5,H2=29.4,V=4.13
time=10.58,T1=6.4,H1=48.0,T2=23.4,H2=29.3,V=4.13
10.63,T1=6.5,H1=48.1,T2=23.4,H2=29.3,V=4.13
10.67,T1=6.3,H1=47.8,T2=23.4,H2=29.3,V=4.13
time=10.72,T1=6.4,H1=48.0,T2=23.4,H2=29.3,V=4.13
time=10.76,T1=6.5,H1=48.0,T2=23.4,H2=29.3,V=4.13
time=10.80,T1=6.4,H1=47.9,T2=23.4,H2=29.4,V=4.13
time=10.85,T1=6.4,H1=47.9,T2=23.4,H2=29.4,V=4.13
time=10.89,T1=6.4,H1=47.9,T2=23.4,H2=29.4,V=4.13
time=10.94,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=10.98,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.02,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.07,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.11,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.16,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.20,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.24,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
time=11.29,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
time=11.33,T1=6.4,H1=47.8,T2=23.4,H2=29.4,V=4.13
time=11.38,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
time=11.42,T1=6.4,H1=47.8,T2=23.4,H2=29.5,V=4.13
